participant_id,personality_cluster
1005,Cluster_E
197,Cluster_E
2343,Cluster_E
1709,Cluster_D
436,Cluster_E
322,Cluster_B
1473,Cluster_C
1704,Cluster_E
901,Cluster_D
1058,Cluster_E
2214,Cluster_C
576,Cluster_E
1164,Cluster_C
2315,Cluster_C
612,Cluster_B
433,Cluster_E
1736,Cluster_E
1135,Cluster_E
1992,Cluster_E
651,Cluster_C
2103,Cluster_E
1564,Cluster_E
2027,Cluster_E
135,Cluster_C
2154,Cluster_E
1360,Cluster_E
941,Cluster_D
1558,Cluster_D
977,Cluster_E
1193,Cluster_E
1138,Cluster_E
446,Cluster_E
343,Cluster_C
260,Cluster_B
1761,Cluster_D
1654,Cluster_D
354,Cluster_B
2278,Cluster_E
566,Cluster_A
1897,Cluster_E
2378,Cluster_E
1114,Cluster_A
255,Cluster_E
431,Cluster_C
799,Cluster_E
1162,Cluster_D
1661,Cluster_C
472,Cluster_E
2292,Cluster_C
1104,Cluster_D
916,Cluster_D
230,Cluster_C
1643,Cluster_E
57,Cluster_E
2224,Cluster_E
966,Cluster_C
2312,Cluster_E
2359,Cluster_C
529,Cluster_E
2108,Cluster_D
2181,Cluster_E
1106,Cluster_A
2166,Cluster_C
1250,Cluster_D
1579,Cluster_E
2030,Cluster_D
2268,Cluster_B
686,Cluster_C
1776,Cluster_E
180,Cluster_E
112,Cluster_C
1743,Cluster_E
2012,Cluster_B
556,Cluster_C
1299,Cluster_E
1515,Cluster_C
1037,Cluster_D
1945,Cluster_E
1227,Cluster_E
637,Cluster_E
1450,Cluster_C
2178,Cluster_B
1217,Cluster_A
1232,Cluster_E
931,Cluster_E
801,Cluster_E
45,Cluster_A
101,Cluster_E
2288,Cluster_D
240,Cluster_E
427,Cluster_C
1212,Cluster_E
465,Cluster_E
1827,Cluster_E
2256,Cluster_E
523,Cluster_E
582,Cluster_C
1006,Cluster_E
1428,Cluster_E
283,Cluster_E
630,Cluster_E
1911,Cluster_D
496,Cluster_E
2368,Cluster_E
1806,Cluster_E
603,Cluster_D
174,Cluster_C
1494,Cluster_E
1291,Cluster_E
1976,Cluster_E
1791,Cluster_E
1605,Cluster_E
2184,Cluster_C
1660,Cluster_E
1442,Cluster_E
2056,Cluster_E
2100,Cluster_E
2197,Cluster_E
189,Cluster_E
1387,Cluster_E
1431,Cluster_E
1658,Cluster_D
1024,Cluster_B
2088,Cluster_E
1750,Cluster_D
975,Cluster_E
481,Cluster_E
1415,Cluster_E
757,Cluster_D
2142,Cluster_C
614,Cluster_E
2029,Cluster_B
1771,Cluster_C
1607,Cluster_E
786,Cluster_E
439,Cluster_E
728,Cluster_D
1339,Cluster_E
1128,Cluster_E
618,Cluster_E
1288,Cluster_D
679,Cluster_D
1693,Cluster_C
1770,Cluster_E
1371,Cluster_D
1224,Cluster_E
1365,Cluster_E
483,Cluster_E
2225,Cluster_C
219,Cluster_E
1506,Cluster_C
508,Cluster_E
2014,Cluster_B
2122,Cluster_C
783,Cluster_E
355,Cluster_E
1676,Cluster_E
1019,Cluster_C
811,Cluster_E
2287,Cluster_E
1454,Cluster_E
30,Cluster_E
1030,Cluster_E
1383,Cluster_E
200,Cluster_E
1088,Cluster_E
1799,Cluster_E
917,Cluster_E
1656,Cluster_C
2388,Cluster_C
2114,Cluster_E
1317,Cluster_B
2223,Cluster_C
212,Cluster_E
1552,Cluster_E
2156,Cluster_D
1835,Cluster_C
238,Cluster_D
868,Cluster_E
1182,Cluster_E
1950,Cluster_B
1777,Cluster_D
2171,Cluster_E
1510,Cluster_B
2365,Cluster_C
464,Cluster_B
70,Cluster_D
2219,Cluster_D
611,Cluster_E
1057,Cluster_C
368,Cluster_E
1509,Cluster_C
248,Cluster_E
97,Cluster_E
280,Cluster_E
1742,Cluster_E
809,Cluster_E
1200,Cluster_D
211,Cluster_D
1829,Cluster_C
882,Cluster_E
2109,Cluster_C
2371,Cluster_E
2334,Cluster_D
597,Cluster_D
1849,Cluster_E
1267,Cluster_E
253,Cluster_B
1477,Cluster_C
652,Cluster_E
1671,Cluster_D
1467,Cluster_E
545,Cluster_D
333,Cluster_B
1918,Cluster_E
509,Cluster_E
480,Cluster_B
297,Cluster_D
1974,Cluster_D
1935,Cluster_B
583,Cluster_E
1361,Cluster_D
2128,Cluster_C
