age_group,upbringing_influence,focus_intensity,consistency_score,external_guidance_usage,support_environment_score,hobby_engagement_level,physical_activity_index,creative_expression_index,altruism_score,personality_cluster
1.0,2.0,0.9101707227643506,0.6,1.0,-1.0,1.0,1.0,0.0,0.0,4
0.0,0.0,-0.7460800837454918,0.26666666666666666,0.0,-0.5,0.0,0.0,0.0,1.0,4
0.5,1.0,-0.6416088323277953,0.6666666666666666,0.0,-1.0,0.0,0.0,0.0,0.0,4
0.5,-1.0,0.6687914039090598,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,4
0.0,-2.0,-0.8967760266466102,0.26666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,4
-0.5,1.0,-0.5385832231025649,-0.6666666666666666,1.0,0.5,1.0,1.0,0.0,1.0,1
1.0,-1.0,-0.08211423645642173,-0.4,0.0,0.0,1.0,0.0,0.0,1.0,2
0.5,2.0,-0.7344059551870671,0.4,1.0,0.5,1.0,0.0,1.0,1.0,4
0.0,0.0,-0.1044582102060009,0.06666666666666667,1.0,0.0,0.0,0.0,0.0,1.0,4
1.0,0.0,0.6627251735448103,0.2,0.0,1.0,1.0,0.0,0.0,0.0,3
0.5,-1.0,-0.03254632371712573,0.26666666666666666,1.0,1.0,0.0,1.0,1.0,1.0,1
-0.5,1.0,0.10903852930808924,-0.7333333333333333,1.0,-0.5,0.0,1.0,0.0,0.0,1
-0.5,0.0,-0.49478959142743767,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4
-0.5,-1.0,0.7298134510652798,-0.2,0.0,0.5,1.0,1.0,0.0,0.0,2
1.0,0.0,1.0745370044886688,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,2
0.5,0.0,-0.5692902386595864,-0.3333333333333333,0.0,1.0,1.0,0.0,0.0,0.0,3
0.5,0.0,-0.7029616679390736,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,3
-0.5,1.0,-0.2712977585115562,-0.2,0.0,0.5,1.0,1.0,0.0,0.0,2
-0.5,-2.0,0.7744177055321649,-0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,3
1.0,-2.0,-0.14116615037375563,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,4
-0.5,-1.0,0.19232863593461477,0.4,1.0,0.0,1.0,0.0,0.0,0.0,4
-0.5,0.0,0.9268300695468336,-0.2,1.0,-0.5,0.0,0.0,0.0,0.0,4
0.0,0.0,0.21264747219493044,-0.4,0.0,0.0,0.0,1.0,0.0,0.0,3
0.0,-1.0,-0.9866326676260784,-0.8,0.0,1.0,1.0,0.0,0.0,0.0,2
0.0,-1.0,-0.7941511470259085,-0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,4
1.0,0.0,0.12207819160308882,-0.5333333333333333,0.0,0.5,1.0,0.0,0.0,0.0,2
-0.5,0.0,0.6364070295960514,0.9333333333333333,0.0,-0.5,0.0,1.0,0.0,0.0,4
-0.5,1.0,-0.15323317221035385,0.9333333333333333,1.0,0.5,1.0,1.0,0.0,0.0,4
0.5,0.0,-0.4124714620015578,-1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
1.0,-1.0,-0.9216669664816797,-0.8,0.0,0.5,0.0,1.0,1.0,0.0,1
-0.5,0.0,0.8416152665947765,-0.5333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,1
-0.5,-2.0,-0.7109831155981241,0.4,1.0,1.0,0.0,1.0,0.0,1.0,4
1.0,-1.0,-0.38140100765272095,-0.8666666666666667,1.0,0.5,0.0,0.0,0.0,0.0,1
0.0,-1.0,0.909404847910682,-0.6,1.0,0.5,1.0,0.0,0.0,0.0,1
-0.5,0.0,-0.4033033182003201,-0.13333333333333333,1.0,0.0,0.0,1.0,0.0,0.0,2
0.5,0.0,0.8367813801474079,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.5,-2.0,0.06098564777801717,-0.6666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0
-0.5,1.0,0.04663883134062165,0.8,1.0,0.5,0.0,0.0,0.0,1.0,4
0.0,-1.0,0.40993295718849704,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,4
-0.5,0.0,0.14160327014898375,-1.0,0.0,0.5,1.0,0.0,1.0,0.0,0
0.5,-2.0,0.06871498294192387,0.0,0.0,0.5,0.0,0.0,1.0,0.0,3
0.0,1.0,1.0792381741068595,-0.4666666666666667,0.0,-0.5,0.0,1.0,0.0,1.0,3
-0.5,-1.0,-0.04777659705103181,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,0.0,4
1.0,-1.0,0.9755957758934506,0.0,0.0,-0.5,1.0,1.0,0.0,0.0,3
-0.5,-1.0,-0.1843420974140257,0.2,0.0,-0.5,0.0,1.0,0.0,0.0,4
-0.5,0.0,0.9942650095759827,0.4666666666666667,1.0,0.0,1.0,0.0,0.0,0.0,4
1.0,-1.0,0.64645988463095,-0.06666666666666667,1.0,-0.5,1.0,0.0,0.0,1.0,4
-0.5,-1.0,-0.13281609823715576,-0.8666666666666667,0.0,-0.5,1.0,0.0,0.0,0.0,2
0.0,-2.0,-0.5078611038530525,0.06666666666666667,1.0,0.5,1.0,0.0,1.0,0.0,4
0.5,-1.0,0.07790962456254627,-0.26666666666666666,1.0,0.5,0.0,0.0,0.0,0.0,4
1.0,-2.0,-0.48134388806836126,-0.6,0.0,1.0,0.0,0.0,0.0,0.0,2
-0.5,-1.0,0.8446910458558533,0.6,0.0,0.0,0.0,0.0,0.0,0.0,4
1.0,1.0,-0.8496975439964508,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4
0.0,2.0,-0.7379345016877393,0.06666666666666667,0.0,0.0,0.0,1.0,1.0,0.0,4
0.0,2.0,-0.9416743359685548,0.06666666666666667,1.0,1.0,0.0,0.0,0.0,0.0,4
-0.5,0.0,-0.7831379834490307,-0.13333333333333333,1.0,0.5,1.0,0.0,0.0,0.0,0
0.5,-1.0,-0.2346289864289054,0.13333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,4
1.0,-1.0,-0.1227088738462914,0.6,0.0,0.5,0.0,0.0,0.0,0.0,4
-0.5,0.0,-0.04676915180587575,0.7333333333333333,1.0,0.5,1.0,0.0,0.0,0.0,4
-0.5,1.0,0.9263294544037869,-0.6666666666666666,0.0,0.5,0.0,0.0,1.0,1.0,2
1.0,-1.0,-0.6604467271553662,-0.9333333333333333,0.0,-1.0,0.0,1.0,0.0,0.0,2
1.0,1.0,-0.050290491582935574,0.5333333333333333,0.0,1.0,1.0,1.0,0.0,0.0,4
0.5,0.0,0.3638441779824855,0.13333333333333333,0.0,0.5,0.0,1.0,0.0,0.0,3
0.0,-1.0,-0.34763913069518887,-0.2,0.0,0.0,0.0,0.0,0.0,1.0,4
-0.5,-2.0,0.5326320764785268,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,4
0.0,0.0,-0.14506992486912273,0.06666666666666667,0.0,0.0,1.0,0.0,1.0,0.0,4
0.5,-1.0,-0.4851291738463702,0.7333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,4
1.0,0.0,0.343218708570593,-0.4,1.0,0.5,0.0,0.0,1.0,0.0,2
1.0,-1.0,0.6190804785312825,-0.4666666666666667,0.0,0.5,0.0,1.0,0.0,0.0,2
1.0,0.0,-0.40741841834301146,0.6,1.0,-0.5,0.0,0.0,1.0,0.0,4
0.0,-1.0,-0.21088442925756878,-0.5333333333333333,1.0,0.0,0.0,1.0,0.0,0.0,1
-0.5,1.0,-0.03960665426721867,-0.26666666666666666,0.0,-0.5,1.0,0.0,0.0,0.0,3
1.0,0.0,0.6607743173258577,-0.06666666666666667,0.0,0.0,1.0,1.0,0.0,0.0,4
1.0,2.0,0.9977222938091748,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,4
0.5,-1.0,-0.39748915964994064,0.06666666666666667,1.0,0.0,1.0,1.0,0.0,0.0,4
0.0,-1.0,-0.8570760227925608,-0.26666666666666666,0.0,-0.5,1.0,0.0,1.0,0.0,3
-0.5,0.0,0.5413653417379007,-0.4,0.0,0.5,1.0,1.0,0.0,0.0,2
1.0,-1.0,-0.9657485936278631,-0.06666666666666667,1.0,0.0,0.0,1.0,1.0,1.0,1
1.0,-2.0,-0.5416043300067258,-0.8666666666666667,1.0,0.0,0.0,0.0,1.0,1.0,1
0.0,-1.0,0.12473635448645852,0.6,0.0,0.0,1.0,0.0,0.0,1.0,4
0.0,1.0,-0.3176103460938723,-0.8666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,1
-0.5,0.0,0.9898023971884505,-0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0
0.5,0.0,1.0275899092100083,-0.5333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,1
-0.5,-1.0,0.15170977741290478,-0.8,0.0,1.0,0.0,0.0,0.0,0.0,2
0.0,-2.0,0.9040465369860856,-0.13333333333333333,0.0,-0.5,0.0,0.0,1.0,0.0,3
1.0,-2.0,-0.07720934788000672,-0.13333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,3
-0.5,0.0,-0.22785237515238652,0.13333333333333333,0.0,-0.5,0.0,0.0,0.0,0.0,4
1.0,-2.0,0.998623793073476,-1.0,0.0,-0.5,1.0,0.0,1.0,0.0,1
0.0,0.0,0.17124304640362473,-0.7333333333333333,0.0,1.0,1.0,1.0,0.0,0.0,1
0.5,-1.0,-0.5509737417922427,-0.7333333333333333,0.0,0.5,1.0,1.0,0.0,0.0,1
0.5,0.0,-0.14405465419844904,-0.26666666666666666,0.0,0.0,0.0,1.0,0.0,1.0,3
-0.5,-1.0,-0.028745974886641643,0.4,1.0,0.0,0.0,1.0,0.0,0.0,4
0.5,-2.0,-0.30178255287538513,0.06666666666666667,0.0,0.0,0.0,1.0,0.0,0.0,4
-0.5,-1.0,0.7292323178911846,-0.8666666666666667,1.0,-0.5,1.0,1.0,0.0,0.0,1
1.0,1.0,0.4257284951462128,-0.8,1.0,0.5,1.0,0.0,0.0,1.0,1
0.5,0.0,1.0792381741068595,0.5333333333333333,1.0,-0.5,1.0,0.0,0.0,0.0,4
0.5,0.0,0.7969182544671224,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.5,-1.0,-0.7221147275698445,-0.4666666666666667,0.0,0.0,1.0,1.0,0.0,0.0,2
0.5,0.0,0.27332323149261556,0.4,0.0,1.0,0.0,1.0,0.0,0.0,4
-0.5,0.0,-0.6271324404920999,0.5333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,4
0.0,0.0,-0.8542551609931183,0.4666666666666667,0.0,0.5,1.0,1.0,0.0,0.0,4
0.0,1.0,0.42161406080127817,-0.26666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,3
0.0,0.0,0.7689127698760275,-0.06666666666666667,1.0,-0.5,0.0,0.0,0.0,0.0,3
0.5,-1.0,0.701750873602169,0.6666666666666666,0.0,-1.0,0.0,0.0,0.0,0.0,4
1.0,2.0,0.46415858931556164,-0.2,0.0,-0.5,0.0,0.0,0.0,1.0,4
0.0,-1.0,-0.7395570702942649,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,4
0.5,1.0,0.20089462096281563,-0.5333333333333333,0.0,-0.5,0.0,0.0,0.0,0.0,3
1.0,0.0,-0.9866326676260784,0.4666666666666667,0.0,-0.5,1.0,0.0,0.0,0.0,4
0.0,0.0,0.6676191617070218,0.8666666666666667,0.0,-0.5,1.0,1.0,0.0,0.0,2
1.0,-1.0,0.11142557566191144,-0.6666666666666666,0.0,0.0,1.0,0.0,0.0,1.0,2
-0.5,1.0,-0.46265431860882067,0.2,0.0,0.5,1.0,0.0,1.0,0.0,4
1.0,1.0,0.9749865598335257,-0.2,0.0,0.0,1.0,0.0,0.0,0.0,3
-0.5,-1.0,0.47869487310435244,-0.13333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,2
1.0,0.0,0.9656061330162611,0.4666666666666667,0.0,0.5,1.0,0.0,0.0,0.0,4
1.0,0.0,-0.3243973055460484,0.5333333333333333,1.0,0.0,0.0,1.0,0.0,0.0,4
-0.5,0.0,-0.7377308931983909,0.26666666666666666,0.0,1.0,0.0,0.0,1.0,1.0,4
-0.5,1.0,0.48258682982182904,-0.4,1.0,0.5,1.0,0.0,0.0,0.0,1
0.0,-1.0,0.5426258129906284,-0.5333333333333333,0.0,0.5,1.0,0.0,0.0,0.0,2
0.0,0.0,-0.3025449871918938,0.4666666666666667,0.0,-0.5,0.0,0.0,0.0,0.0,4
0.0,0.0,0.13343187533127732,-0.9333333333333333,0.0,0.5,1.0,0.0,1.0,0.0,1
0.5,0.0,0.10413714974302744,0.9333333333333333,0.0,-0.5,1.0,0.0,0.0,0.0,4
0.0,-2.0,-0.8022696609282229,-0.6666666666666666,0.0,0.5,1.0,0.0,0.0,0.0,2
0.5,-2.0,-0.5245987628874006,-0.9333333333333333,0.0,0.0,0.0,1.0,0.0,1.0,2
0.5,0.0,-0.29441683927753093,0.8,0.0,1.0,0.0,0.0,0.0,0.0,4
0.0,0.0,-0.28146533565402704,-0.7333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,1
1.0,-1.0,0.9061300436978572,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,4
0.0,0.0,-0.8940076540732416,-0.06666666666666667,0.0,0.5,0.0,1.0,1.0,1.0,3
-0.5,1.0,0.7288760203121227,0.06666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,3
-0.5,-1.0,0.024395900629173246,-0.5333333333333333,1.0,-0.5,0.0,1.0,1.0,0.0,2
1.0,1.0,0.7884067979682821,-0.9333333333333333,1.0,-1.0,0.0,1.0,0.0,0.0,1
-0.5,0.0,0.9595250732796263,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,4
